0	11342
0	824020
0	867923
0	891835
11342	0
11342	27469
11342	38716
11342	309564
11342	322178
11342	387543
11342	427436
11342	538214
11342	638706
11342	645018
11342	835220
11342	856657
11342	867923
11342	891835
824020	0
824020	91807
824020	322178
824020	387543
824020	417728
824020	438493
824020	500627
824020	535748
824020	695578
824020	867923
824020	891835
867923	0
867923	11342
867923	136593
867923	414038
867923	500627
867923	523684
867923	760842
867923	815602
867923	835220
867923	846213
867923	857527
867923	891835
891835	0
891835	11342
891835	112028
891835	235849
891835	302284
891835	417728
891835	451592
891835	693969
891835	857527
891835	867923
1	53051
1	203402
1	223236
1	276233
1	552600
1	569212
1	635575
1	748615
1	862566
1	893884
203402	1
203402	53051
203402	164684
203402	184896
203402	184984
203402	223236
203402	240041
203402	276233
203402	284930
203402	303045
203402	384341
203402	408707
203402	436135
203402	449352
203402	532018
203402	539143
203402	552600
203402	569212
203402	573555
203402	604413
203402	635575
203402	648208
203402	748615
203402	773119
203402	789543
203402	792151
203402	824625
203402	838771
203402	862566
203402	893884
